asic_base_variable,external_source_path,external_variable_name,asic_unit_expected,mimic_unit_candidate,conversion_factor,conversion_rule,notes
heart_rate,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,hr,bpm,bpm,1.0,No numeric conversion needed; keep bpm as-is.,matched external variable 'hr'
sbp,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
map,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,map,mmHg,mmHg,1.0,No numeric conversion needed; keep mmHg as-is.,matched external variable 'map'
dbp,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
resp_rate,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,rr,bpm,bpm,1.0,Treat MIMIC bpm/insp/min as breaths per minute and keep numeric values as-is.,matched external variable 'rr'
core_temp,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,tem,°C,°C,1.0,Target scale is Celsius. Convert Fahrenheit charted candidates to Celsius using (F-32)*5/9; keep Celsius values as-is; drop implausible values outside the ASIC validity envelope.,matched external variable 'tem'; semantic caution remains after unit clarification
spo2,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
sao2,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,sao,%,%,1.0,No numeric conversion needed; keep percent values as-is and do not mix with pulse-ox SpO2.,matched external variable 'sao'; semantic caution remains after unit clarification
fio2,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,fio,%,%,1.0,"Target contract is percent on both sides. Keep values already charted in 21-100 as-is; if a local MIMIC source encodes FiO2 as a 0-1 fraction, multiply by 100 before aggregation.",matched external variable 'fio'; semantic caution remains after unit clarification
peep,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,peep,cmH2O,cmH2O,1.0,No numeric conversion needed; keep cmH2O as-is.,matched external variable 'peep'
vt,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,vt,mL,mL,1.0,No numeric conversion needed; keep mL as-is; retain later physiologic QC for zeros and extreme outliers.,matched external variable 'vt'; semantic caution remains after unit clarification
vt_per_kg_ibw,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
etco2,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
pf_ratio,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
pao2,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,oxy,mmHg,mmHg,1.0,No numeric conversion needed; treat labevents mm Hg and chartevents mmHg as equivalent and keep values in mmHg.,matched external variable 'oxy'
paco2,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,pco,mmHg,mmHg,1.0,No numeric conversion needed; treat labevents mm Hg and chartevents mmHg as equivalent and keep values in mmHg.,matched external variable 'pco'
ph_art,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,pha,pH,pH,1.0,No numeric conversion needed; keep pH values as-is.,matched external variable 'pha'
bicarbonate_art,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
base_excess_art,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
lactate_art,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,lac,mmol/L,mmol/L,1.0,No numeric conversion needed; keep mmol/L as-is.,matched external variable 'lac'
hemoglobin,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,hem,mmol/L,g/dL,0.6207324643078833,Convert MIMIC hemoglobin from g/dL to the external ASIC target mmol/L by dividing by the external factor_asic_to_mimic 1.611 (equivalently multiply by about 0.621).,matched external variable 'hem'
hematocrit,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,hto,%,%,1.0,No numeric conversion needed; keep percent values as-is.,matched external variable 'hto'
wbc,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,wbc,10x9/L,10x3/µL,1.0,"No numeric rescaling is needed: 10x3/µL and 10x9/L are numerically equivalent, so preserve the value and standardize the unit label only.",matched external variable 'wbc'
platelets,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,pla,10x9/L,10x3/µL,1.0,"No numeric rescaling is needed: 10x3/µL and 10x9/L are numerically equivalent, so preserve the value and standardize the unit label only.",matched external variable 'pla'
inr,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,inr,,,1.0,No numeric conversion needed; keep INR as-is.,matched external variable 'inr'
ptt,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
albumin,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,alb,dg/L,g/dL,100.0,Convert MIMIC albumin from g/dL to the external ASIC target dg/L by dividing by the external factor_asic_to_mimic 0.01 (equivalently multiply by 100).,matched external variable 'alb'; unit mismatch now resolved from external config
crp,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,,,,,,no direct external row matched; retained existing issue-specific unit rule
bilirubin_total,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,bil,µmol/L,mg/dL,17.094017094017094,Convert MIMIC total bilirubin from mg/dL to the external ASIC target µmol/L by dividing by the external factor_asic_to_mimic 0.0585 (equivalently multiply by about 17.094).,matched external variable 'bil'
urea,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,ure,mmol/L,mg/dL,0.35714285714285715,Convert MIMIC Urea Nitrogen/BUN from mg/dL to the external ASIC target mmol/L by dividing by the external factor_asic_to_mimic 2.8 (equivalently multiply by about 0.3571).,matched external variable 'ure'; unit mismatch resolved but semantic proxy remains
creatinine,/Users/joanameyer/repository/icu-mortality-last72h/config/variable_configuration.csv,cre,µmol/L,mg/dL,88.49557522123894,Convert MIMIC creatinine from mg/dL to the external ASIC target µmol/L by dividing by the external factor_asic_to_mimic 0.0113 (equivalently multiply by about 88.496).,matched external variable 'cre'
