asic_base_variable,prior_project_variable_name,candidate_itemid,dictionary_table,label,category,unitname,linksto,supports_current_mapping,crosscheck_decision,notes
core_temp,tem,223762,d_items,Temperature Celsius,Routine Vital Signs,°C,chartevents,partial,keep as Celsius temperature source; do not upgrade to direct core temperature without site proof,"YAML candidate exists; abbreviation=Temperature C; param_type=Numeric; demo rows=391, valueuom=°C. Confirms temperature availability and unit handling, but not equivalence to ASIC core temperature."
core_temp,tem_fahrenheit,223761,d_items,Temperature Fahrenheit,Routine Vital Signs,°F,chartevents,partial,keep as Fahrenheit temperature source after Celsius conversion; do not upgrade to direct core temperature without site proof,"YAML candidate exists; abbreviation=Temperature F; param_type=Numeric; demo rows=3379, valueuom=°F. Confirms temperature availability and conversion path, but not equivalence to ASIC core temperature."
sao2,sao,220227,d_items,Arterial O2 Saturation,Labs,%,chartevents,yes,confirm preferred chartevents candidate,"YAML candidate exists; abbreviation=SaO2; param_type=Numeric; demo rows=104, valueuom=%. Does not resolve whether broader lab item 50817 can be pooled."
ph_art,pha,223830,d_items,PH (Arterial),Labs,None,chartevents,yes,confirm direct semantic match when anchored to arterial pH item; retain 50820 only as conditional secondary,"YAML candidate exists; abbreviation=PH (Arterial); param_type=Numeric; demo rows=644, valueuom mostly units. Direct semantic match for arterial pH; remaining caution is narrower coverage/provenance, not concept mismatch."
lactate_art,lac,225668,d_items,Lactic Acid,Labs,None,chartevents,partial,do not replace blood-gas lactate; keep only as conditional mirror candidate,"YAML candidate exists; abbreviation=Lactic Acid; param_type=Numeric; demo rows=530, valueuom=mmol/L. Same analyte but label does not prove arterial or blood-gas context."
pao2,oxy,220224,d_items,Arterial O2 pressure,Labs,mmHg,chartevents,yes,confirm preferred chartevents candidate,"YAML candidate exists; abbreviation=PO2 (Arterial); param_type=Numeric; demo rows=623, valueuom=mmHg. Broader lab item 50821 remains arteriality-dependent."
paco2,pco,220235,d_items,Arterial CO2 Pressure,Labs,mmHg,chartevents,yes,confirm preferred chartevents candidate,"YAML candidate exists; abbreviation=PCO2 (Arterial); param_type=Numeric; demo rows=623, valueuom=mmHg. Broader lab item 50818 remains arteriality-dependent."
fio2,fio,223835,d_items,Inspired O2 Fraction,Respiratory,None,chartevents,yes,confirm current candidate with explicit percent/fraction caution,"YAML candidate exists; abbreviation=FiO2; param_type=Numeric; demo rows=1746, valueuom blank, median=40. Dictionary unit blank keeps unit-normalization caution active."
base_excess_art,followup_candidate,224828,d_items,Arterial Base Excess,Labs,None,chartevents,yes,confirm preferred primary candidate; no quality or risk change,"abbreviation=Arterial Base Excess; param_type=Numeric; demo rows=623, stays=74, valueuom=mEq/L. Direct arterial chart item; broader 50802 lab use remains arteriality/provenance-dependent."
bicarbonate_art,followup_serum_candidate,224826,d_items,ZHCO3 (serum),Labs,None,chartevents,no,"reject as serum bicarbonate, not arterial bicarbonate",abbreviation=ZHCO3 (serum); param_type=Numeric; demo rows=0. Serum context does not satisfy arterial bicarbonate concept.
bicarbonate_art,followup_serum_candidate,227443,d_items,HCO3 (serum),Labs,None,chartevents,no,"reject as serum bicarbonate, not arterial bicarbonate","abbreviation=HCO3 (serum); param_type=Numeric with tag; demo rows=943, stays=137, valueuom mostly mEq/L. Coverage is good but context is serum, not arterial blood gas."
bicarbonate_art,followup_score_candidate,226759,d_items,HCO3ApacheIIValue,Scores - APACHE II,None,chartevents,no,reject as APACHE-derived score input,abbreviation=HCO3ApacheIIValue; param_type=Numeric; demo rows=0. Score-derived field should not masquerade as arterial bicarbonate measurement.
bicarbonate_art,followup_score_candidate,226760,d_items,HCO3Score,Scores - APACHE II,None,chartevents,no,reject as APACHE score component,abbreviation=HCO3Score; param_type=Numeric; demo rows=0. Score variable is not a raw bicarbonate measurement.
bicarbonate_art,followup_input_candidate,225165,d_items,Bicarbonate Base,Fluids/Intake,mL,inputevents,no,reject as treatment/input variable,abbreviation=Bicarbonate Base; param_type=Solution; demo inputevents rows=0. Input/treatment records are not patient bicarbonate measurements.
bicarbonate_art,followup_input_candidate,220995,d_items,Sodium Bicarbonate 8.4%,Medications,mEq,inputevents,no,reject as medication/input variable,"abbreviation=Sodium Bicarbonate 8.4%; param_type=Solution; demo inputevents rows=32. Treatment dose, not arterial bicarbonate."
bicarbonate_art,followup_input_candidate,227533,d_items,Sodium Bicarbonate 8.4% (Amp),Fluids/Intake,mL,inputevents,no,reject as treatment/input variable,"abbreviation=Sodium Bicarbonate 8.4% (Amp); param_type=Solution; demo inputevents rows=10. Treatment dose, not arterial bicarbonate."
bicarbonate_art,followup_input_candidate,221211,d_items,"Sodium Bicarbonate 1,4%",Fluids - Other (Not In Use),mL,inputevents,no,reject as treatment/input variable,"abbreviation=NaBic 1,4%; param_type=Solution; demo inputevents rows=0. Treatment/input context and not in use."
bicarbonate_art,followup_ingredient_candidate,220994,d_items,Bicarbonate (ingr),Ingredients - general (Not In Use),mg,ingredientevents,no,reject as ingredient variable,abbreviation=ZHCO3; param_type=Ingredient; demo ingredientevents rows=0. Ingredient record is not a patient arterial bicarbonate measurement.
bicarbonate_art,followup_retained_candidate,50803,d_labitems,"Calculated Bicarbonate, Whole Blood",Blood Gas,,labevents,partial,retain as sparse best local blood-gas candidate,"fluid=Blood; demo labevents rows=13 across 3 ICU stays, valueuom=mEq/L. Best local measurement context but not explicitly arterial and sparse."
etco2,followup_candidate,228640,d_items,EtCO2,Routine Vital Signs,None,chartevents,yes,confirm preferred primary candidate; keep high risk,"abbreviation=EtCO2; param_type=Numeric; demo rows=202, stays=14, valueuom blank. Correct concept but blank unit metadata and sparse demo coverage prevent risk reduction."
vt,vt,224684,d_items,Tidal Volume (set),Respiratory,mL,chartevents,yes,confirm best Chapter 1-aligned primary VT candidate,"abbreviation=Tidal Volume (set); param_type=Numeric; demo rows=769, stays=62. Setting context best matches Chapter 1 target."
vt,followup_fallback_candidate,224685,d_items,Tidal Volume (observed),Respiratory,mL,chartevents,partial,retain only as explicit fallback or sensitivity candidate,"abbreviation=Tidal Volume (observed); param_type=Numeric; demo rows=1331, stays=67. Observed context is not identical to set VT and includes extreme outliers."
vt,followup_fallback_candidate,224686,d_items,Tidal Volume (spontaneous),Respiratory,mL,chartevents,partial,retain only as explicit fallback or sensitivity candidate,"abbreviation=Tidal Volume (spontaneous); param_type=Numeric; demo rows=661, stays=56. Spontaneous context is not interchangeable with set VT."
urea,ure,225624,d_items,BUN,Labs,None,chartevents,partial,confirm charted BUN mirror; retain proxy status,"abbreviation=BUN; param_type=Numeric; demo rows=927, stays=137, valueuom mostly mg/dL. Supports BUN availability but not native urea/Harnstoff equivalence."
